,city,state,zip,longitude,latitude,dma region,state abr,criteria id,"""blockFips""","""incomeBelowPoverty""",medianIncome,incomeLessThan25,"incomeBetween25to50""",incomeBetween50to100,incomeBetween100to200,incomeGreater200,educationHighSchoolGraduate,educationBachelorOrGreater
14815,Dallas,Texas,75219,-96.81412,32.812462,Dallas-Ft. Worth,TX,1026339.0,481130005001007,0.19,40423.0,0.4549,0.2425,0.285,0.0566,0.0,0.4887,0.2254
14816,Dallas,Texas,75220,-96.86306,32.867977,Dallas-Ft. Worth,TX,1026339.0,481130098024000,0.19,37367.0,0.4179,0.6418,0.0796,0.1294,0.0,0.2554,0.1183
14817,Dallas,Texas,75223,-96.74918,32.792879,Dallas-Ft. Worth,TX,1026339.0,481130024002006,0.19,23816.0,0.5037,0.4303,0.2323,0.0244,0.0,0.0893,0.028
14818,Dallas,Texas,75224,-96.83987,32.716065,Dallas-Ft. Worth,TX,1026339.0,481130062004011,0.19,30372.0,0.3324,0.3647,0.3029,0.0,0.0,0.6457,0.0
14819,Dallas,Texas,75225,-96.7904,32.862876,Dallas-Ft. Worth,TX,1026339.0,481130195013007,0.19,185676.0,0.022,0.0791,0.1736,0.2637,0.4835,0.9814,0.7901
14820,Dallas,Texas,75226,-96.77662,32.783978,Dallas-Ft. Worth,TX,1026339.0,481130204002035,0.19,35358.0,0.4161,0.3296,0.2299,0.0783,0.0417,0.4409,0.2432
14821,Dallas,Texas,75227,-96.69,32.77003,Dallas-Ft. Worth,TX,1026339.0,481130085004006,0.19,30240.0,0.4091,0.5818,0.0773,0.0591,0.0,0.6418,0.0
14822,Dallas,Texas,75228,-96.67955,32.825227,Dallas-Ft. Worth,TX,1026339.0,481130124006000,0.19,54908.0,0.2094,0.2231,0.4793,0.022,0.1047,0.8208,0.2085
14823,Dallas,Texas,75229,-96.85985,32.895376,Dallas-Ft. Worth,TX,1026339.0,481130096071020,0.19,77614.0,0.0986,0.2742,0.1854,0.4339,0.0552,0.8888,0.4574
14824,Dallas,Texas,75230,-96.79054,32.901176,Dallas-Ft. Worth,TX,1026339.0,481130133002001,0.19,224211.0,0.0161,0.0241,0.0858,0.3619,0.5121,0.9639,0.744
14825,Dallas,Texas,75231,-96.74764,32.874317,Dallas-Ft. Worth,TX,1026339.0,481130078213000,0.19,30867.0,0.4884,0.4319,0.1927,0.0498,0.0,0.5214,0.1148
