name,city,state,state_url,school_name,player_url
"Bart Kofoed","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Westside","http://www.basketball-reference.com/players/k/kofoeba01.html"
"Tom Kropp","Aurora","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Aurora","http://www.basketball-reference.com/players/k/kroppto01.html"
"Mike McGee","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","North","http://www.basketball-reference.com/players/m/mcgeemi01.html"
"Grant Simmons","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Benson","http://www.basketball-reference.com/players/s/simmogr01.html"
"Alex Stivrins","Lincoln","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","East","http://www.basketball-reference.com/players/s/stivral01.html"
"Erick Strickland","Bellevue","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","West","http://www.basketball-reference.com/players/s/stricer01.html"
"Greg Anthony","North Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Rancho","http://www.basketball-reference.com/players/a/anthogr01.html"
"Luke Babbitt","Reno","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Galena","http://www.basketball-reference.com/players/b/babbilu01.html"
"Marcus Banks","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Cimarron Memorial","http://www.basketball-reference.com/players/b/banksma01.html"
"Anthony Bennett","Henderson","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay College Prep","http://www.basketball-reference.com/players/b/bennean01.html"
"Avery Bradley","Henderson","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay College Prep","http://www.basketball-reference.com/players/b/bradlav01.html"
"Jorge Gutierrez","Henderson","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay Prep","http://www.basketball-reference.com/players/g/gutiejo01.html"
"Lionel Hollins","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Rancho","http://www.basketball-reference.com/players/h/hollili01.html"
"Armon Johnson","Reno","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Hug","http://www.basketball-reference.com/players/j/johnsar02.html"
"Nick Johnson","Henderson","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay Prep","http://www.basketball-reference.com/players/j/johnsni01.html"
"Cory Joseph","Henderson","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay College Prep","http://www.basketball-reference.com/players/j/josepco01.html"
"DeAndre Liggins","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay College Prep","http://www.basketball-reference.com/players/l/liggide01.html"
"Pace Mannion","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Chaparral","http://www.basketball-reference.com/players/m/mannipa01.html"
"Shabazz Muhammad","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Bishop Gorman","http://www.basketball-reference.com/players/m/muhamsh01.html"
"Matt Othick","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Bishop Gorman","http://www.basketball-reference.com/players/o/othicma01.html"
"Willie Smith","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Clark","http://www.basketball-reference.com/players/s/smithwi02.html"
"Tristan Thompson","Henderson","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Findlay College Prep","http://www.basketball-reference.com/players/t/thomptr01.html"
"C.J. Watson","Las Vegas","Nevada","http://www.basketball-reference.com/friv/high_schools.cgi?state=NV","Bishop Gorman","http://www.basketball-reference.com/players/w/watsocj01.html"
"Jeff Adrien","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/a/adrieje01.html"
"Will Barton","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/b/bartowi01.html"
"Matt Bonner","Concord","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Concord","http://www.basketball-reference.com/players/b/bonnema01.html"
"Craig Brackins","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/b/brackcr01.html"
"Jerome Dyson","Andover","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Proctor Academy","http://www.basketball-reference.com/players/d/dysonje01.html"
"Rashad McCants","New Hampton","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","New Hampton School","http://www.basketball-reference.com/players/m/mccanra01.html"
"Mitch McGary","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/m/mcgarmi01.html"
"Lawrence Moten","Hampton","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","New Hampton School","http://www.basketball-reference.com/players/m/motenla01.html"
"Nerlens Noel","Tilton","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Tilton","http://www.basketball-reference.com/players/n/noelne01.html"
"Bud Palmer","Exeter","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Phillips-Exeter Academy","http://www.basketball-reference.com/players/p/palmebu01.html"
"Worthy Patterson","Tilton","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Tilton School","http://www.basketball-reference.com/players/p/pattewo01.html"
"Thomas Robinson","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/r/robinth01.html"
"JaKarr Sampson","Wolfeboro","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH","Brewster Academy","http://www.basketball-reference.com/players/s/sampsja02.html"
"Xavier Silas","Brewster Academy","New Hampshire","http://www.basketball-reference.com/friv/high_schools.cgi?state=NH",,"http://www.basketball-reference.com/players/s/silasxa01.html"
