Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
453,Gal Mekel,NOP,$633974,,,,,,,,,,,,,,,,,
377,Garrett Temple,WAS,$981084,$1100602,,,,,Minimum Salary,$981084,,,,,,,,,,
313,Gary Harris,DEN,$1519200,$1587480,$1655880,$2550055,,,1st Round Pick,$3106680,,,,,,,,,,
216,Gary Neal,CHO,$3250000,,,,,,Cap Space,$3250000,,,,,,,,,,
84,George Hill,IND,$8000000,$8000000,$8000000,,,,Bird Rights,$24000000,,,,,,,,,,
198,Gerald Green,PHO,$3500000,,,,,,Cap Space,$3500000,,,,,,,,,,
125,Gerald Henderson,CHO,$6000000,$6000000,,,,,Bird Rights,$6000000,,,,,,,,,,
59,Gerald Wallace,BOS,$10105855,$10105855,,,,,Bird Rights,$20211710,,,,,,,,,,
294,Giannis Antetokounmpo,MIL,$1873200,$1953960,$2995421,,,,1st Round Pick,$3827160,,,,,,,,,,
110,Glen Davis,ORL,$6600000,,,,,,,$6600000,,,,,,,,,,
405,Glen Davis,LAC,$1227985,,,,,,Minimum Salary,$1227985,,,,,,,,,,
475,Glen Rice,WAS,$400000,,,,,,,$400000,,,,,,,,,,
461,Glenn Robinson,MIN,$507336,,,,,,Minimum Salary,$250000,,,,,,,,,,
94,Goran Dragic,PHO,$7500000,$7500000,,,,,Cap Space,$7500000,,,,,,,,,,
27,Gordon Hayward,UTA,$14746000,$15409570,$16073140,$16736710,,,Bird Rights,$46228710,,,,,,,,,,
330,Gorgui Dieng,MIN,$1413480,$1474440,$2348783,,,,1st Round Pick,$2887920,,,,,,,,,,
443,Grant Jerrett,OKC,$816481,$947276,$1015696,$1087745,,,Non Bird Rights,$1763757,,,,,,,,,,
134,Greg Monroe,DET,$5479934,,,,,,,$5479934,,,,,,,,,,
392,Greg Smith,DAL,$948163,,,,,,Minimum Salary,$948163,,,,,,,,,,
378,Greg Stiemsma,TOR,$981084,,,,,,Minimum Salary,$25000,,,,,,,,,,
116,Greivis Vasquez,TOR,$6400000,$6600000,,,,,Bird Rights,$13000000,,,,,,,,,,
223,Harrison Barnes,GSW,$3049920,$3873398,,,,,1st Round Pick,$6923318,,,,,,,,,,
445,Hassan Whiteside,MIA,$769881,,,,,,Minimum Salary,$769881,,,,,,,,,,
322,Hedo Turkoglu,LAC,$1448490,,,,,,Minimum Salary,$1448490,,,,,,,,,,
397,Henry Sims,PHI,$915243,,,,,,Minimum Salary,,,,,,,,,,,
428,Hollis Thompson,PHI,$816482,$947276,$1015696,,,,Cap Space,,,,,,,,,,,
425,Ian Clark,UTA,$816482,,,,,,Minimum Salary,,,,,,,,,,,
179,Ian Mahinmi,IND,$4000000,$4000000,,,,,Early Bird Rights,$8000000,,,,,,,,,,
249,Iman Shumpert,CLE,$2616975,,,,,,1st Round Pick,$2616975,,,,,,,,,,
435,Isaiah Canaan,HOU,$816482,$947276,,,,,Cap Space,$1574303,,,,,,,,,,
97,Isaiah Thomas,PHO,$7238606,$6912869,$6587132,$6261395,,,,$27000002,,,,,,,,,,
379,Ish Smith,OKC,$981084,,,,,,Minimum Salary,,,,,,,,,,,
385,Ish Smith,HOU,$981084,,,,,,,$981084,,,,,,,,,,
527,Ivan Johnson,DAL,$25000,,,,,,,$25000,,,,,,,,,,
139,J.J. Hickson,DEN,$5381750,$5613500,,,,,MLE,$10995250,,,,,,,,,,
112,J.J. Redick,LAC,$6583500,$6867000,$7150500,,,,Bird Rights,$20601000,,,,,,,,,,
